Business Key,Business Name,Business Address,Longitude,Latitude,Project Location,Has Incoming Location,Incoming_OnStreetID,Incoming_OrientationID,Incoming_FromID,Incoming_ToID,Incoming_WhereTypeID,Incoming_ParkingTypeID,Has Incoming Volume,Incoming Parking Type,Incoming Vehicle Type,Monday Total,Tuesday Total,Wednesday Total,Thursday Total,Friday Total,Saturday Total,Sunday Total,Total Weekly Deliveries,Average Daily Weekday,Has Outgoing Deliveries,Make Deliveries Daily Total,Make Delivery Vehicles Fixed,Outgoing Where On Block,Outgoing Parking Type,Business_OnStreet,Business_Orientation,Business_From,Business_To,Has Double Parking Survey,Double Parking,Source Count,Survey Year
MACY S | 422 FULTON STREET BROOKLYN NY 11201,Macy’s,"422 Fulton Street, Brooklyn, NY 11201",0.0,0.0,LIVINGSTON STREET,1,LIVINGSTON STREET,North,GALLATIN PLACE,HOYT STREET,Around the corner,Off street loading zone,1,Off street loading zone,"Tractor trailer (48"" & up)",3,8,2,2,2,2,0,19,3.4,1,2.0,Third_party,Around the corner,Off street loading zone,LIVINGSTON STREET,North,GALLATIN PLACE,HOYT STREET,1,Consistently,1,2022
"Gym NYC | 85 Livingston St, Brooklyn, NY, 11201, USA",Gym NYC,"85 Livingston St, Brooklyn, NY, 11201, USA",-73.990605042312,40.69152325424,Livingston Street,1,LIVINGSTON STREET,North,COURT STREET,BOERUM PLACE,In front of the business,Double parked,1,Double parked,Box truck,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,1,Once or twice a day,1,2026
"Trophy World, Inc. | 86 Livingston St, Brooklyn, NY, 11201, USA","Trophy World, Inc.","86 Livingston St, Brooklyn, NY, 11201, USA",-73.990770836356,40.691189444946,Livingston Street,1,LIVINGSTON STREET,South,,,Don't know,Double parked,1,Double parked,"Mail truck (e.g. USPS, FedEx, etc.)",2,2,2,2,2,0,0,10,2.0,1,10.0,"Car,Walking",In front of the business,Double parked,LIVINGSTON STREET,South,Court Street,Boerum Place,1,Consistently,1,2026
"Poke City | 80 Livingston St, Brooklyn, NY, 11201, USA",Poke City,"80 Livingston St, Brooklyn, NY, 11201, USA",-73.990963787768,40.691244388321,Livingston Street,1,LIVINGSTON STREET,South,COURT STREET,BOERUM PLACE,In front of the business,Double parked,1,Double parked,Cargo van,1,1,2,1,2,0,0,7,1.4,0,,,,,LIVINGSTON STREET,South,Court Street,Boerum Place,1,Consistently,1,2026
"Poke City | 80 Livingston St, Brooklyn, NY, 11201, USA",Poke City,"80 Livingston St, Brooklyn, NY, 11201, USA",-73.990963787768,40.691244388321,Livingston Street,1,LIVINGSTON STREET,South,COURT STREET,BOERUM PLACE,In front of the business,Double parked,1,Double parked,Cargo van,1,1,2,1,2,0,0,7,1.4,0,,,,,,,,,1,Consistently,1,2026
"Kung Fu Tea | 80 Livingston St, Brooklyn, NY, 11201, USA",Kung Fu Tea,"80 Livingston St, Brooklyn, NY, 11201, USA",-73.990963787768,40.691244388321,Livingston Street,1,LIVINGSTON STREET,South,COURT STREET,BOERUM PLACE,In front of the business,Bus stop,1,Bus stop,Box truck,0,0,0,1,0,0,0,1,0.2,1,20.0,E-Bike,Down the block,Bike parking on sidewalk,LIVINGSTON STREET,South,Court Street,Boerum Place,1,Unsure,1,2026
"Kung Fu Tea | 80 Livingston St, Brooklyn, NY, 11201, USA",Kung Fu Tea,"80 Livingston St, Brooklyn, NY, 11201, USA",-73.990963787768,40.691244388321,Livingston Street,1,LIVINGSTON STREET,South,COURT STREET,BOERUM PLACE,In front of the business,Bus stop,1,Bus stop,Box truck,0,0,0,1,0,0,0,1,0.2,1,20.0,E-Bike,Down the block,Bike parking on sidewalk,LIVINGSTON STREET,South,Court Street,Boerum Place,1,Unsure,1,2026
"Next Stop Vegan | 88 Livingston St, Brooklyn, NY, 11201, USA",Next Stop Vegan,"88 Livingston St, Brooklyn, NY, 11201, USA",-73.990717946547,40.691256416352,Livingston Street,1,LIVINGSTON STREET,South,COURT STREET,BOERUM PLACE,Don't know,Don't know,1,Don't know,Don't know,0,0,0,0,0,0,0,0,0.0,1,40.0,E-Bike,In front of the business,Bike parking on sidewalk,LIVINGSTON STREET,South,Court Street,Boerum Place,1,Consistently,1,2026
"Halal munchies | 82 Livingston St, Brooklyn, NY, 11201, USA",Halal munchies,"82 Livingston St, Brooklyn, NY, 11201, USA",-73.990938725877,40.691316137412,Livingston Street,1,LIVINGSTON STREET,South,COURT STREET,BOERUM PLACE,In front of the business,Bus stop,1,Bus stop,Box truck,1,2,2,2,1,1,1,10,1.6,1,20.0,E-Bike,In front of the business,Blocking sidewalk,LIVINGSTON STREET,South,Court Street,Boerum Place,1,Consistently,1,2026
"Pizzetta | 90 Livingston St, Brooklyn, NY, 11201, USA",Pizzetta,"90 Livingston St, Brooklyn, NY, 11201, USA",-73.99066145252,40.691160820746,Livingston Street,1,LIVINGSTON STREET,South,COURT STREET,BOERUM PLACE,In front of the business,Don't know,1,Don't know,Box truck,0,0,0,0,0,0,0,0,0.0,1,30.0,E-Bike,In front of the business,Bike parking on sidewalk,LIVINGSTON STREET,South,Court Street,Boerum Place,1,Consistently,1,2026
